variable,type,completer_n,noncompleter_n,completer_mean,completer_sd,noncompleter_mean,noncompleter_sd,standardized_mean_difference,raw_p_value_descriptive,missing_completer,missing_noncompleter
age,continuous,25,19,28.08,10.08265837961398,27.68421052631579,9.701389542963806,0.039893902679428425,0.8958216568387609,0,0
sex,binary,25,19,0.28,,0.42105263157894735,,-0.2989076437824461,,0,0
S1_NSItotal,continuous,25,19,21.04,19.68180208551375,23.0,19.075871903765997,-0.10090384967132222,0.7409068415099883,0,0
S1_RivermeadTotal,continuous,25,18,21.32,13.359515959295333,23.166666666666668,13.483104896390104,-0.13769895316155772,0.659106387100111,0,1
DaysSinceInjuryVisit1_S1,continuous,25,19,9.64,3.7067505985701277,11.0,3.2145502536643185,-0.3880964989640376,0.2006292203780651,0,0
GCS_S1,continuous,22,14,14.954545454545455,0.21320071635561041,14.642857142857142,0.7449463436684919,0.6358871003192366,0.14865869726740202,3,5
LOC_S1,binary,25,19,0.92,,1.0,,-0.41702882811414943,,0,0
DurationLOC_InMinutes_S1,continuous,23,19,20.58695652173913,49.805679708496065,21.31578947368421,48.31126235336268,-0.014832122634419981,0.9619730995400999,2,0
