feature,kind,n_subjects,n_nonnull,n_missing,pct_missing,mean,sd,min,median,max,high_missing_flag
rest_EC_global_delta_abs,rest,25,25,0,0.0,12.9099,7.5001,4.1616,9.1452,30.9026,False
rest_EC_global_delta_rel,rest,25,25,0,0.0,0.2545,0.0986,0.093,0.2671,0.4466,False
rest_EC_global_theta_abs,rest,25,25,0,0.0,10.0726,11.6341,1.6772,5.7966,51.1257,False
rest_EC_global_theta_rel,rest,25,25,0,0.0,0.1573,0.0857,0.0728,0.131,0.3704,False
rest_EC_global_alpha_abs,rest,25,25,0,0.0,25.5849,21.2206,0.9412,21.0706,71.6384,False
rest_EC_global_alpha_rel,rest,25,25,0,0.0,0.3853,0.1875,0.0655,0.3477,0.728,False
rest_EC_global_beta_abs,rest,25,25,0,0.0,6.8247,3.9958,2.8829,6.3541,20.0171,False
rest_EC_global_beta_rel,rest,25,25,0,0.0,0.1388,0.0697,0.0519,0.1273,0.3431,False
rest_EC_global_theta_alpha_ratio,rest,25,25,0,0.0,0.5945,0.5089,0.1,0.4582,1.7821,False
rest_EC_global_spec_entropy,rest,25,25,0,0.0,0.763,0.0698,0.6297,0.7735,0.8798,False
rest_EC_global_aper_offset,rest,25,25,0,0.0,0.9706,0.3046,0.404,0.9287,1.5464,False
rest_EC_global_aper_exponent,rest,25,25,0,0.0,1.2439,0.1984,0.781,1.2606,1.5678,False
rest_EC_global_aper_r2,rest,25,25,0,0.0,0.9863,0.0191,0.9202,0.9935,0.9975,False
rest_EO_n_blocks_used,rest,25,25,0,0.0,2.0,0.0,2.0,2.0,2.0,False
rest_EO_n_seg_total,rest,25,25,0,0.0,60.0,0.0,60.0,60.0,60.0,False
rest_EO_n_seg_kept,rest,25,25,0,0.0,41.88,14.2283,12.0,43.0,59.0,False
rest_EO_usable_s,rest,25,25,0,0.0,83.76,28.4565,24.0,86.0,118.0,False
rest_EO_iaf_posterior_hz,rest,25,22,3,12.0,10.0455,0.9247,8.0,10.0,12.5,False
rest_EO_frontal_delta_abs,rest,25,25,0,0.0,25.9215,29.2183,5.9363,19.9852,155.585,False
rest_EO_frontal_delta_rel,rest,25,25,0,0.0,0.4837,0.1464,0.235,0.4449,0.8274,False
rest_EO_frontal_theta_abs,rest,25,25,0,0.0,8.7233,7.3743,1.752,6.1257,28.4029,False
rest_EO_frontal_theta_rel,rest,25,25,0,0.0,0.1679,0.0632,0.0961,0.1471,0.3583,False
rest_EO_frontal_alpha_abs,rest,25,25,0,0.0,6.8617,5.9557,0.7991,5.036,22.6211,False
rest_EO_frontal_alpha_rel,rest,25,25,0,0.0,0.1473,0.1003,0.0222,0.1233,0.3648,False
rest_EO_frontal_beta_abs,rest,25,25,0,0.0,5.7587,4.0535,1.7944,4.5068,21.2588,False
rest_EO_frontal_beta_rel,rest,25,25,0,0.0,0.1305,0.0565,0.0215,0.1215,0.2337,False
rest_EO_frontal_theta_alpha_ratio,rest,25,25,0,0.0,1.6676,1.0944,0.3155,1.4757,5.3076,False
rest_EO_frontal_spec_entropy,rest,25,25,0,0.0,0.7366,0.0801,0.5231,0.7495,0.8384,False
rest_EO_frontal_aper_offset,rest,25,25,0,0.0,1.1471,0.4194,0.2371,1.062,2.3277,False
rest_EO_frontal_aper_exponent,rest,25,25,0,0.0,1.3516,0.3284,0.8281,1.2721,2.2758,False
rest_EO_frontal_aper_r2,rest,25,25,0,0.0,0.9749,0.0323,0.8768,0.9873,0.9974,False
rest_EO_central_delta_abs,rest,25,25,0,0.0,8.499,4.282,3.5654,6.6611,18.6131,False
rest_EO_central_delta_rel,rest,25,25,0,0.0,0.3131,0.1134,0.1579,0.2933,0.6339,False
rest_EO_central_theta_abs,rest,25,25,0,0.0,5.766,5.8218,1.3692,3.8289,24.2699,False
rest_EO_central_theta_rel,rest,25,25,0,0.0,0.1743,0.0713,0.0739,0.1458,0.3863,False
rest_EO_central_alpha_abs,rest,25,25,0,0.0,6.7894,6.0215,0.6679,4.0659,19.5947,False
rest_EO_central_alpha_rel,rest,25,25,0,0.0,0.2086,0.1264,0.0507,0.1731,0.5503,False
rest_EO_central_beta_abs,rest,25,25,0,0.0,5.4145,3.2874,2.2976,4.8517,12.9923,False
rest_EO_central_beta_rel,rest,25,25,0,0.0,0.1943,0.0728,0.0887,0.1904,0.3484,False
rest_EO_central_theta_alpha_ratio,rest,25,25,0,0.0,1.1083,0.6744,0.1464,1.0168,3.2046,False
rest_EO_central_spec_entropy,rest,25,25,0,0.0,0.8308,0.0658,0.6737,0.8388,0.9741,False
rest_EO_central_aper_offset,rest,25,25,0,0.0,0.6918,0.3666,-0.6051,0.7079,1.1865,False
rest_EO_central_aper_exponent,rest,25,25,0,0.0,1.054,0.2989,0.1192,1.0899,1.5562,False
rest_EO_central_aper_r2,rest,25,25,0,0.0,0.9728,0.0532,0.7349,0.9882,0.9974,False
rest_EO_parietal_delta_abs,rest,25,25,0,0.0,11.1441,6.9794,3.4846,9.3203,34.5792,False
rest_EO_parietal_delta_rel,rest,25,25,0,0.0,0.3271,0.1374,0.1147,0.3127,0.6839,False
rest_EO_parietal_theta_abs,rest,25,25,0,0.0,7.8983,11.4272,1.2127,3.9942,55.7954,False
rest_EO_parietal_theta_rel,rest,25,25,0,0.0,0.1669,0.084,0.0595,0.1449,0.4147,False
rest_EO_parietal_alpha_abs,rest,25,25,0,0.0,14.4537,17.3577,0.6619,6.6183,67.4663,False
rest_EO_parietal_alpha_rel,rest,25,25,0,0.0,0.289,0.1662,0.084,0.2359,0.6839,False
rest_EO_parietal_beta_abs,rest,25,25,0,0.0,5.264,3.8375,1.7759,3.9888,18.1399,False
rest_EO_parietal_beta_rel,rest,25,25,0,0.0,0.1508,0.0662,0.0417,0.1395,0.3175,False
rest_EO_parietal_theta_alpha_ratio,rest,25,25,0,0.0,0.7962,0.5395,0.087,0.6301,1.9561,False
rest_EO_parietal_spec_entropy,rest,25,25,0,0.0,0.7712,0.0654,0.6345,0.7784,0.886,False
rest_EO_parietal_aper_offset,rest,25,25,0,0.0,0.9532,0.2972,0.3741,1.0108,1.6018,False
rest_EO_parietal_aper_exponent,rest,25,25,0,0.0,1.3672,0.2328,0.8556,1.4154,1.8828,False
rest_EO_parietal_aper_r2,rest,25,25,0,0.0,0.9907,0.0087,0.9636,0.9922,0.9971,False
rest_EO_occipital_delta_abs,rest,25,25,0,0.0,13.7444,10.0845,4.4233,10.2035,50.1921,False
rest_EO_occipital_delta_rel,rest,25,25,0,0.0,0.3353,0.125,0.1427,0.3136,0.6932,False
rest_EO_occipital_theta_abs,rest,25,25,0,0.0,7.9971,9.5321,1.3715,4.5801,46.1407,False
rest_EO_occipital_theta_rel,rest,25,25,0,0.0,0.1606,0.0671,0.0658,0.1424,0.3595,False
rest_EO_occipital_alpha_abs,rest,25,25,0,0.0,14.0632,15.3081,0.7555,7.7065,57.879,False
rest_EO_occipital_alpha_rel,rest,25,25,0,0.0,0.2756,0.1607,0.0674,0.224,0.6523,False
rest_EO_occipital_beta_abs,rest,25,25,0,0.0,6.5026,5.4414,2.0773,4.5138,27.4296,False
rest_EO_occipital_beta_rel,rest,25,25,0,0.0,0.155,0.0602,0.0688,0.1404,0.2776,False
rest_EO_occipital_theta_alpha_ratio,rest,25,25,0,0.0,0.8269,0.5689,0.1009,0.6618,2.0555,False
rest_EO_occipital_spec_entropy,rest,25,25,0,0.0,0.7822,0.0628,0.6432,0.785,0.8744,False
rest_EO_occipital_aper_offset,rest,25,25,0,0.0,0.9676,0.2813,0.2561,0.9856,1.5008,False
rest_EO_occipital_aper_exponent,rest,25,25,0,0.0,1.2586,0.2343,0.8934,1.2584,1.6088,False
