model,outcome,n,n_predictors,r2,adj_r2,f_pvalue,aic,bic
H2_primary_parsimonious,S3_Rivermead_Total,19,5,0.28466024344481355,0.009529567846664921,0.4378356265951693,161.17129337581295,166.8379272508116
H2_transparency_full_OLS,S3_Rivermead_Total,19,10,0.4485932408210448,-0.24066520815264925,0.7423000737920102,166.2258810910081,176.61470986183895
H3_primary_parsimonious,S1_to_S3_NSI_Change,21,5,0.17266378909745184,-0.10311494787006414,0.682582363193869,188.46597902317558,194.73311364951613
H3_transparency_full_OLS,S1_to_S3_NSI_Change,21,10,0.2452711386857881,-0.5094577226284238,0.9546625776451358,196.53707453752975,208.0268213524874
H4_primary_parsimonious,S1_to_S3_Rivermead_Change,19,5,0.6028088644852826,0.4500430431334682,0.021338974131873262,132.30566354179373,137.97229741679237
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,19,10,0.6830625298460149,0.28689069215353347,0.22592879765553198,138.01711435486476,148.4059431256956
