event_value,count_in_example_run
S 37,250
S  1,170
S 51,170
S 43,170
S 41,80
S 99,75
S149,25
S 13,9
S 63,9
S  4,9
S 54,9
S  5,9
S 55,9
S 25,8
S 75,8
S 31,7
S 81,7
S  2,7
S 52,7
S  3,6
S 53,6
S 19,5
S 69,5
S  7,4
S 57,4
S  6,4
S 56,4
S 20,2
S 70,2
S 36,2
S 86,2
boundary,1
S 10,1
S 60,1
S  8,1
S 58,1
S 26,1
S 76,1
S 15,1
S 65,1
S 18,1
S 68,1
S 12,1
S 62,1
S 14,1
S 64,1
S 33,1
S 83,1
