model,n,n_predictors,r2,adj_r2,f_pvalue,aic,bic
primary_parsimonious,21,5,0.11037182741731688,-0.18617089677691068,0.8598594557840847,184.21180806943633,190.47894269577688
transparency_full_OLS,21,10,0.39013163329398215,-0.2197367334120357,0.7537116436770481,186.28303861482266,197.7727854297803
supportive_resting_only,25,6,0.30807921530026117,0.07743895373368159,0.2923937352136725,212.26195895925554,220.79408973333295
supportive_erp_only,21,6,0.21849389514822148,-0.11643729264539782,0.6883464439807665,183.49061483368686,190.8022718977508
