subject_uid,model,cooks_d,leverage,studentized_resid,dffits
M87107075,primary_parsimonious,0.023416606041308293,0.2379039795365751,-0.6580747199347374,-0.3676810219282881
M87108749,primary_parsimonious,0.2915707228092393,0.48143380640418043,1.4182427953993615,1.366522470033265
M87111903,primary_parsimonious,7.546624075147007e-06,0.4248438062257312,-0.007563965063351951,-0.006500866675185513
M87115595,primary_parsimonious,0.0032740236735931114,0.2229010602511172,0.25340239103509327,0.13571523947628852
M87123864,primary_parsimonious,0.5106503055391711,0.2979402522268573,3.604341964771474,2.3480294622546323
M87130454,primary_parsimonious,0.03167078467223972,0.462996343277817,0.4569172370528963,0.42426548367230194
M87139163,primary_parsimonious,0.04345131861155538,0.15265872449606044,-1.2226241414986538,-0.5189489057972845
M87139716,primary_parsimonious,0.020007060344526695,0.1688698397601635,0.7576524821024632,0.3415164086231218
M87153943,primary_parsimonious,0.015810968948967174,0.17841929815345836,-0.6480301512394024,-0.3019889218067332
M87156521,primary_parsimonious,0.026175412968853718,0.3223105184908168,-0.5613745510732213,-0.3871458316973552
M87166363,primary_parsimonious,8.025942651050478e-06,0.24583403126361958,-0.01174239383662102,-0.006704157031641859
M87167934,primary_parsimonious,0.11980089563337663,0.275085298844457,1.4224861031965734,0.8762706576083269
M87169117,primary_parsimonious,0.021235472096780117,0.34864179594627087,-0.47513698713927,-0.3476150898234979
M87170213,primary_parsimonious,0.02495516223769459,0.11292611058983808,-1.0914118361697982,-0.3894089656874636
M87170788,primary_parsimonious,0.01527081876461248,0.09826666179610152,-0.9117739797707943,-0.30098942161197784
M87171657,primary_parsimonious,0.04366921029693722,0.28332593771533604,-0.8044746087583488,-0.5058184485788821
M87177336,primary_parsimonious,0.05134983263790819,0.2870114039328814,-0.8676165830421761,-0.550473135303964
M87179250,primary_parsimonious,0.001658743598791824,0.14391280932561332,0.23553295182715678,0.09657003772139137
M87182130,primary_parsimonious,0.21511990287196212,0.3599572686155087,1.5902751189038664,1.192595738150286
M87189125,primary_parsimonious,0.05892247584333767,0.43867844224835906,-0.6598068012236216,-0.5832893854453731
M87192041,primary_parsimonious,0.0040084714258439465,0.4560826108992368,-0.16377354350231663,-0.1499681489846242
