model,predictor,beta,se,ci_low,ci_high,p_value,std_beta,std_ci_low,std_ci_high,p_fdr
primary_parsimonious,Global_Aperiodic_Exponent,-1.4171140545966243,29.500889722263786,-64.29677204672483,61.46254393753157,0.9623210557200663,-0.018212091821932758,-0.8263122594617862,0.7898880758179208,0.9623210557200663
primary_parsimonious,Posterior_IAF,-2.5776365577454885,5.316585140083961,-13.909669538507304,8.754396423016326,0.6348012732113728,-0.15391644593255,-0.8305774889132698,0.5227445970481697,0.9623210557200663
primary_parsimonious,P3b_Amplitude,2.0666977933635073,2.5655669688532003,-3.4016787565018176,7.535074343228832,0.43308615054855903,0.24032313552218196,-0.39555957693807065,0.8762058479824346,0.9623210557200663
primary_parsimonious,Age,-0.059768197410264866,0.555794117064244,-1.2444153156516444,1.1248789208311147,0.9157884881082355,-0.03989423668503452,-0.8306256719825766,0.7508371986125075,0.9623210557200663
primary_parsimonious,Sex,-4.852213830185486,9.741698711503794,-25.6161531218005,15.911725461429528,0.6256459535364528,-0.13346813555134904,-0.7046144949127067,0.43767822381000854,0.9623210557200663
transparency_full_OLS,Global_Aperiodic_Exponent,-16.111905570400957,33.67724398026738,-91.14948131065557,58.92567016985367,0.6426381022245636,-0.20706272915906315,-1.1714108104189624,0.757285352100836,0.8003507741367145
transparency_full_OLS,Posterior_IAF,-4.2290646765857804,8.161898136536548,-22.414907020557237,13.956777667385674,0.6156250912649319,-0.2525269137276268,-1.3384442481411218,0.8333904206858681,0.8003507741367145
transparency_full_OLS,Frontal_Theta_Alpha_Ratio,-26.329140903297706,15.868378054508984,-61.68609056455554,9.02780875796013,0.12806032896252365,-1.020768819288888,-2.3915416786060866,0.35000404002831065,0.8003507741367145
transparency_full_OLS,Occipital_Relative_Alpha,-68.5872414796698,47.959654975677154,-175.4480120588329,38.2735290994933,0.18318000722759037,-0.8581963360837374,-2.1952893551885504,0.4788966830210756,0.8003507741367145
transparency_full_OLS,P3b_Amplitude,0.5732558511442309,2.963442723870683,-6.029706017548071,7.176217719836533,0.8504850518492704,0.06666027517221133,-0.7011561443900246,0.8344766947344472,0.8504850518492704
transparency_full_OLS,P3b_Latency,0.018049911193039576,0.04900675510186436,-0.09114394385920098,0.12724376624528014,0.7203156967230431,0.10873640145563435,-0.5490699850947651,0.7665427880060338,0.8003507741367145
transparency_full_OLS,P3a_Amplitude,-3.407454333557833,2.912032729874583,-9.895867597247042,3.0809589301313767,0.26908032321341774,-0.45621633156664937,-1.3249352657270737,0.41250260259377497,0.8003507741367145
transparency_full_OLS,P3a_Latency,-0.06164648844063869,0.12712696322128145,-0.34490301432900605,0.22161003744772867,0.6381795357606546,-0.16767775989138758,-0.9381323459837769,0.6027768262010018,0.8003507741367145
transparency_full_OLS,Age,-0.5883352147808947,0.7894243099087247,-2.3472821903909775,1.170611760829188,0.473260558032264,-0.3927035668734899,-1.566770211041055,0.7813630772940752,0.8003507741367145
transparency_full_OLS,Sex,12.710108111414645,13.622715789297411,-17.64319420828578,43.063410431115074,0.3727950410624156,0.34961246384761124,-0.4853051243333729,1.1845300520285953,0.8003507741367145
supportive_resting_only,Global_Aperiodic_Exponent,-15.488531190523789,25.784861135776904,-69.66051425523206,38.68345187418448,0.5555398973208703,-0.1962852294708633,-0.8828035310418687,0.49023307210014216,0.6503044975318975
supportive_resting_only,Posterior_IAF,-9.391065013470188,4.80396512363139,-19.48382122225664,0.7016911953162648,0.06631097276359306,-0.5576132530985792,-1.1568908232399762,0.0416643170428177,0.13262194552718612
supportive_resting_only,Frontal_Theta_Alpha_Ratio,-27.405471029761255,11.970305975786516,-52.554150682720156,-2.2567913768023544,0.03435300983025104,-1.0725633513327988,-2.0568030347478494,-0.08832366791774793,0.13262194552718612
supportive_resting_only,Occipital_Relative_Alpha,-73.60080323378914,36.046778592146794,-149.33227485771914,2.130668390140883,0.056104684495684155,-0.9465757549535498,-1.9205539151980702,0.02740240529097049,0.13262194552718612
supportive_resting_only,Age,-0.21116032515564961,0.45802644617575355,-1.1734381809395658,0.7511175306282666,0.6503044975318975,-0.13598996430390617,-0.7557092755051918,0.48372934689737945,0.6503044975318975
supportive_resting_only,Sex,9.611046863021485,7.467602177053996,-6.077803138503214,25.299896864546184,0.21438821718143697,0.2813194937733383,-0.17789992355111867,0.7405389110977953,0.32158232577215545
supportive_erp_only,P3b_Amplitude,2.226068695241703,2.4262201485873964,-2.9776559814065013,7.429793371889907,0.37441415903622577,0.25885536358830563,-0.3462526665755845,0.8639633937521958,0.9663530247407154
supportive_erp_only,P3b_Latency,-0.0019094220718784921,0.044463564275835775,-0.0972742828280687,0.0934554386843117,0.9663530247407154,-0.011502753821647324,-0.5860004160563678,0.5629949084130731,0.9663530247407154
supportive_erp_only,P3a_Amplitude,-2.709679710417457,2.061311403952143,-7.1307529692671725,1.7113935484322589,0.20979292309101363,-0.362792870041629,-0.9547203403164395,0.2291346002331815,0.9663530247407154
supportive_erp_only,P3a_Latency,-0.07415112919208545,0.1128782800840897,-0.3162509616714984,0.16794870328732753,0.521890359871619,-0.20169024304310304,-0.8601990828340541,0.4568185967478481,0.9663530247407154
supportive_erp_only,Age,-0.20566470537370962,0.4936167884673167,-1.2643674222111492,0.8530380114637298,0.6832530968729607,-0.13727762906444205,-0.8439433575735634,0.5693880994446793,0.9663530247407154
supportive_erp_only,Sex,1.0223499419535769,11.069111429475349,-22.718532899063963,24.76323278297112,0.9277201674710179,0.02812141950231351,-0.624910676779502,0.681153515784129,0.9663530247407154
